iter	Passed	Remaining
471	674	754
472	675	752
473	676	750
474	677	748
475	678	746
476	679	744
477	680	742
478	681	740
479	682	738
480	682	736
481	684	735
482	685	733
483	686	732
484	687	730
485	688	728
486	689	726
487	690	724
488	691	722
489	692	720
490	692	718
491	693	716
492	694	714
493	695	712
494	696	710
495	697	708
496	698	706
497	700	705
498	701	704
499	702	702
500	703	700
501	704	699
502	705	697
503	706	695
504	707	693
505	708	691
506	709	690
507	710	688
508	711	686
509	712	684
510	713	682
511	715	682
512	717	681
513	718	679
514	719	677
515	720	675
516	721	673
517	722	671
518	723	670
519	724	668
520	724	666
521	725	664
522	726	662
523	727	661
524	729	660
525	731	658
526	732	657
527	733	655
528	734	653
529	735	651
530	736	650
531	737	648
532	738	647
533	739	645
534	740	643
535	741	641
536	742	640
537	745	640
538	746	638
539	747	636
540	748	635
541	749	633
542	751	632
543	752	630
544	753	628
545	754	627
546	755	625
547	755	623
548	757	622
549	758	620
550	760	619
551	761	618
552	762	616
553	763	614
554	764	613
555	765	611
556	766	609
557	767	607
558	768	606
559	769	604
560	770	602
561	771	601
562	773	600
563	774	598
564	775	596
565	776	595
566	777	593
567	778	591
568	779	590
569	780	588
570	781	586
571	782	585
572	783	583
573	783	581
574	784	580
575	786	578
576	787	577
577	788	575
578	789	574
579	791	572
580	792	571
581	793	569
582	800	572
583	802	571
584	804	570
585	805	568
586	806	567
587	807	565
588	808	563
589	809	562
590	810	560
591	810	558
592	811	557
593	812	555
594	813	554
595	814	552
596	816	550
597	817	549
598	818	548
599	820	546
600	821	545
601	821	543
602	822	541
603	823	540
604	824	538
605	825	536
606	826	535
607	827	533
608	828	532
609	829	530
610	830	528
611	832	527
612	833	526
613	834	524
614	835	523
615	836	521
616	837	519
617	838	518
618	839	516
619	840	515
620	841	513
621	842	511
622	843	510
623	844	508
624	845	507
625	846	505
626	848	504
627	849	503
628	850	501
629	851	500
630	852	498
631	853	496
632	854	495
633	855	493
634	856	492
635	857	490
636	858	489
637	859	487
638	860	486
639	863	485
640	864	483
641	865	482
642	866	480
643	867	479
644	868	478
645	869	476
646	870	474
647	871	473
648	872	471
649	873	470
650	874	468
651	876	467
652	878	466
653	879	465
654	881	464
655	882	462
656	883	461
657	884	459
658	885	458
659	886	456
660	887	455
661	889	453
662	890	452
663	892	451
664	893	450
665	894	448
666	895	447
667	897	445
668	898	444
669	899	442
670	900	441
671	901	439
672	902	438
673	905	437
674	906	436
675	908	435
676	910	434
677	911	432
678	912	431
679	913	429
680	914	428
681	915	427
682	916	425
683	918	424
684	920	423
685	921	421
686	922	420
687	923	418
688	924	417
689	925	415
690	926	414
691	928	413
692	929	411
693	930	410
694	933	409
695	934	408
696	935	406
697	936	405
698	937	403
699	939	402
700	940	401
701	941	399
702	942	398
703	943	396
704	944	395
705	948	395
706	949	393
707	951	392
708	951	390
709	953	389
710	954	387
711	955	386
712	956	385
713	957	383
714	958	382
715	959	380
716	964	380
717	966	379
718	967	378
719	968	376
720	969	375
721	971	374
722	972	372
723	973	371
724	974	369
725	975	367
726	976	366
727	977	365
728	979	364
729	980	362
730	981	361
731	982	359
732	983	358
733	985	357
734	986	355
735	987	354
736	988	352
737	990	351
738	993	350
739	995	349
740	995	348
741	996	346
742	997	345
743	998	343
744	1000	342
745	1002	341
746	1003	339
747	1006	339
748	1008	338
749	1010	336
750	1011	335
751	1011	333
752	1013	332
753	1015	331
754	1016	329
755	1017	328
756	1018	326
757	1019	325
758	1022	324
759	1023	323
760	1024	321
761	1025	320
762	1026	318
763	1030	318
764	1037	318
765	1038	317
766	1039	315
767	1041	314
768	1042	313
769	1044	311
770	1045	310
771	1046	309
772	1052	309
773	1053	307
774	1055	306
775	1056	304
776	1057	303
777	1058	302
778	1059	300
779	1060	299
780	1061	297
781	1066	297
782	1069	296
783	1070	294
784	1071	293
785	1074	292
786	1075	291
787	1087	292
788	1089	291
789	1091	290
790	1092	288
791	1097	288
792	1098	286
793	1099	285
794	1100	283
795	1101	282
796	1102	280
797	1103	279
798	1104	277
799	1105	276
800	1106	274
801	1107	273
802	1110	272
803	1111	270
804	1113	269
805	1114	268
806	1116	266
807	1118	265
808	1119	264
809	1120	262
810	1121	261
811	1122	259
812	1126	259
813	1127	257
814	1128	256
815	1130	254
816	1131	253
817	1133	252
818	1134	250
819	1135	249
820	1137	247
821	1140	246
822	1141	245
823	1143	244
824	1144	242
825	1145	241
826	1147	240
827	1148	238
828	1150	237
829	1151	235
830	1152	234
831	1154	233
832	1156	231
833	1157	230
834	1158	228
835	1159	227
836	1160	225
837	1161	224
838	1162	223
839	1163	221
840	1164	220
841	1165	218
842	1166	217
843	1169	216
844	1170	214
845	1171	213
846	1172	211
847	1173	210
848	1175	209
849	1176	207
850	1177	206
851	1178	204
852	1179	203
853	1180	201
854	1181	200
855	1183	199
856	1184	197
857	1186	196
858	1187	194
859	1188	193
860	1189	192
861	1190	190
862	1191	189
863	1192	187
864	1193	186
865	1193	184
866	1194	183
867	1195	181
868	1196	180
869	1197	178
870	1199	177
871	1200	176
872	1201	174
873	1202	173
874	1203	171
875	1204	170
876	1205	169
877	1206	167
878	1207	166
879	1208	164
880	1209	163
881	1210	161
882	1213	160
883	1215	159
884	1216	158
885	1217	156
886	1218	155
887	1219	153
888	1220	152
889	1222	151
890	1223	149
891	1224	148
892	1225	146
893	1227	145
894	1229	144
895	1230	142
896	1231	141
897	1232	139
898	1233	138
899	1234	137
900	1235	135
901	1236	134
902	1237	132
903	1238	131
904	1238	130
905	1239	128
906	1240	127
907	1242	125
908	1244	124
909	1245	123
910	1246	121
911	1247	120
912	1249	119
913	1250	117
914	1252	116
915	1253	114
916	1254	113
917	1255	112
918	1256	110
919	1257	109
920	1258	107
921	1259	106
922	1260	105
923	1261	103
924	1262	102
925	1263	100
926	1264	99
927	1264	98
928	1266	96
929	1266	95
930	1267	93
931	1268	92
932	1269	91
933	1270	89
934	1271	88
935	1272	87
936	1273	85
937	1274	84
938	1275	82
939	1276	81
940	1276	80
941	1277	78
942	1278	77
943	1279	75
944	1280	74
945	1281	73
946	1281	71
947	1282	70
948	1283	68
949	1284	67
950	1285	66
951	1285	64
952	1287	63
953	1288	62
954	1289	60
955	1290	59
956	1291	58
957	1292	56
958	1292	55
959	1293	53
960	1294	52
961	1295	51
962	1296	49
963	1297	48
964	1297	47
965	1298	45
966	1299	44
967	1301	43
968	1302	41
969	1303	40
970	1304	38
971	1305	37
972	1306	36
973	1307	34
974	1308	33
975	1309	32
976	1310	30
977	1310	29
978	1311	28
979	1312	26
980	1313	25
981	1314	24
982	1315	22
983	1317	21
984	1317	20
985	1318	18
986	1319	17
987	1320	16
988	1321	14
989	1322	13
990	1323	12
991	1323	10
992	1324	9
993	1325	8
994	1326	6
995	1327	5
996	1327	3
997	1328	2
998	1330	1
999	1331	0
